date,daily_avg_sentiment,rolling_mean,rolling_std,z_score,entity,anomaly_flag
2026-06-17,0.1535355154956382,,,,Adani Group,False
2026-06-23,0.0010486425480798708,,,,Adani Group,False
2026-06-24,0.09935168893315524,0.07729207902185904,0.10782450190315,0.20458809938311198,Adani Group,False
2026-06-25,0.07658037478820633,0.08464528232562445,0.07729987323282438,-0.1043327395004506,Adani Group,False
2026-06-18,0.0007564560667118643,,,,HDFC Bank,False
2026-06-19,8.606212970615e-05,,,,HDFC Bank,False
2026-06-22,0.018226306984877157,0.00042125909820900717,0.0004740400989230878,37.56021468883583,HDFC Bank,True
2026-06-23,-0.06774849609596607,0.006356275060431724,0.010285212706755696,-7.2049818773046015,HDFC Bank,True
2026-06-24,0.0009198597781346117,-0.012169917728667726,0.03799214406493787,0.34453905745431745,HDFC Bank,False
2026-06-25,0.00021632634646572045,-0.009551962227307257,0.03341886762030939,0.2922986106158956,HDFC Bank,False
2026-06-22,0.24600137835087965,,,,ICICI Bank,False
2026-06-24,-0.2529872869575272,,,,ICICI Bank,False
2026-06-25,0.7057977914810181,-0.0034929543033237753,0.35283826897479903,2.0102432421665744,ICICI Bank,True
2026-06-18,0.0001025477781332255,,,,Infosys,False
2026-06-19,-0.24704538267866133,,,,Infosys,False
2026-06-21,0.0005523204852955578,-0.12347141745026405,0.1747599775822207,0.7096804408618625,Infosys,False
2026-06-22,0.17681166030691398,-0.08213017147174419,0.14282093942919785,1.8130522934070612,Infosys,False
2026-06-23,-0.20831615689809127,-0.017394713527079643,0.17424484273816387,-1.0957078578096429,Infosys,False
2026-06-24,0.09776652952080482,-0.055579002201281966,0.1733815111925423,0.8844399305748044,Infosys,False
2026-06-25,0.004453675821423464,-0.03002141358093417,0.16723654132769347,0.20614567324018643,Infosys,False
2026-06-22,0.00031277089146894996,,,,Paytm,False
2026-06-23,0.006638771984251221,,,,Paytm,False
2026-06-24,-0.1861470944137641,0.0034757714378600858,0.004473158270499854,-42.391271308724505,Paytm,True
2026-06-18,4.6494622263755727e-05,,,,Reliance Industries,False
2026-06-19,-0.06990408249943617,,,,Reliance Industries,False
2026-06-20,0.00034787198427963027,-0.0349287939385862,0.049462527430666585,0.7131998253084502,Reliance Industries,False
2026-06-21,-0.39302726063247856,-0.023169905297630924,0.04047326520217863,-9.13831274761935,Reliance Industries,True
2026-06-22,0.2886404471637709,-0.11563424413134284,0.18785811832667543,2.1520214026209996,Reliance Industries,True
2026-06-23,0.1940540059662616,-0.03477930587232009,0.24321926253954743,0.9408519269783305,Reliance Industries,False
2026-06-24,0.2536707341001103,0.0033595794341101937,0.23675289897005972,1.0572675382431327,Reliance Industries,False
2026-06-25,0.0006782140117138,0.03911831581496735,0.23592531989698678,-0.16293334611154853,Reliance Industries,False
2026-06-17,2.0025723783277946e-05,,,,Tata Motors,False
2026-06-21,0.3941914692351303,,,,Tata Motors,False
2026-06-23,0.31198871933119776,0.1971057474794568,0.27872130065696366,0.41217865868505404,Tata Motors,False
2026-06-24,0.2394339199762151,0.23540007143003713,0.20794746322196558,0.019398402287178627,Tata Motors,False
2026-06-25,0.25025826987402977,0.23640853356658162,0.169800371879718,0.08156481728590637,Tata Motors,False
2026-06-17,0.055703987818246356,,,,Yes Bank,False
2026-06-18,0.027074245617848755,,,,Yes Bank,False
2026-06-19,-0.042791090051953994,0.041389116718047556,0.020244284853523812,-4.158220820299747,Yes Bank,True
2026-06-20,0.001539124343815302,0.013329047794713706,0.050665747192378846,-0.23270008051261598,Yes Bank,False
2026-06-21,-0.00026806189693475677,0.010381566931989106,0.041786311946846996,-0.2548592668927183,Yes Bank,False
2026-06-22,-0.04429284513753373,0.008251641166204332,0.03650006600580573,-1.4395723639343638,Yes Bank,False
2026-06-23,-1.0005624524970828e-05,-0.0005057732177520119,0.03906350848165706,0.01269132273307804,Yes Bank,False
2026-06-24,0.03396977944081059,-0.0004349492758624346,0.03566043360124716,0.9647871672393175,Yes Bank,False
2026-06-17,5.500535973450974e-05,,,,Zomato,False
2026-06-23,-0.0070867686571171535,,,,Zomato,False
2026-06-24,-2.2260346194734244e-05,-0.003515881648691322,0.0050499968370177,0.6918066318155879,Zomato,False
2026-06-25,3.1045638024806976e-06,-0.0023513412145257924,0.004101182426491622,0.5740895023639307,Zomato,False
